model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
catboost,20.0,0.9999840000799998,2.0519464443538185e-06,0.9999800000999997,0.9999850000749996,0.9999850000749996,0.9999850000749996,0.9999850000749996,no_rot,BOT-IoT
dt,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
lgbm,20.0,0.9999350003249985,1.1390647892519134e-16,0.9999350003249984,0.9999350003249984,0.9999350003249984,0.9999350003249984,0.9999350003249984,no_rot,BOT-IoT
mlp,20.0,0.9999890000549998,2.0519464443993812e-06,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.9999900000499996,0.9999900000499996,no_rot,BOT-IoT
resnet,20.0,0.9999880000599999,3.4027682229608276e-06,0.9999800000999997,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.9999900000499996,no_rot,BOT-IoT
rf,20.0,0.999993000035,2.9912002521811443e-06,0.9999900000499996,0.9999900000499996,0.999995000025,0.999995000025,1.0,no_rot,BOT-IoT
saint,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,no_rot,BOT-IoT
xgb,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,no_rot,BOT-IoT
catboost,20.0,0.9999850001499982,1.1390647892519134e-16,0.9999850001499984,0.9999850001499984,0.9999850001499984,0.9999850001499984,0.9999850001499984,no_rot,CIC-DDoS-2019
dt,20.0,0.999990500094999,1.5389521386321183e-06,0.999990000099999,0.999990000099999,0.999990000099999,0.999990000099999,0.9999950000499996,no_rot,CIC-DDoS-2019
lgbm,20.0,0.9921180788192118,0.008056993209966957,0.98250017499825,0.98250017499825,0.998530014699853,0.998530014699853,0.998530014699853,no_rot,CIC-DDoS-2019
mlp,20.0,0.9999822501774981,4.993366784975126e-06,0.9999750002499976,0.999980000199998,0.999980000199998,0.9999850001499984,0.999990000099999,no_rot,CIC-DDoS-2019
resnet,20.0,0.9999770002299975,1.0809244583047886e-05,0.9999450005499944,0.9999750002499976,0.999980000199998,0.9999850001499984,0.999990000099999,no_rot,CIC-DDoS-2019
rf,20.0,0.9999180008199918,2.778650430127225e-05,0.999870001299987,0.9998937510624895,0.9999250007499925,0.9999362506374937,0.999960000399996,no_rot,CIC-DDoS-2019
saint,20.0,0.9877471225287747,0.028438294140273372,0.9046259537404626,0.998630013699863,0.9988425115748842,0.9995337546624534,0.9999350006499936,no_rot,CIC-DDoS-2019
xgb,20.0,0.9999900000999989,1.1390647892519134e-16,0.999990000099999,0.999990000099999,0.999990000099999,0.999990000099999,0.999990000099999,no_rot,CIC-DDoS-2019
catboost,20.0,0.9889601103988961,1.1390647892519134e-16,0.988960110398896,0.988960110398896,0.988960110398896,0.988960110398896,0.988960110398896,no_rot,CIC-IDS-2017
dt,20.0,0.9894273557264428,5.495158276379881e-06,0.9894151058489415,0.9894288557114428,0.989430105698943,0.989430105698943,0.989430105698943,no_rot,CIC-IDS-2017
lgbm,20.0,0.9984250157498422,2.278129578503827e-16,0.9984250157498424,0.9984250157498424,0.9984250157498424,0.9984250157498424,0.9984250157498424,no_rot,CIC-IDS-2017
mlp,20.0,0.9846159038409615,0.0034423642485657564,0.9769352306476936,0.9839764102358977,0.9853776462235377,0.9868726312736873,0.991220087799122,no_rot,CIC-IDS-2017
resnet,20.0,0.9807281927180729,0.006920706608891012,0.9541354586454136,0.9802251977480224,0.9816301836981629,0.9847489025109749,0.9857751422485777,no_rot,CIC-IDS-2017
rf,20.0,0.9879483705162947,0.0002949202120664266,0.987570124298757,0.9877951220487796,0.9878651213487863,0.9879951200487995,0.9889551104488956,no_rot,CIC-IDS-2017
saint,20.0,0.9670053299467007,0.01694234118716394,0.9152558474415255,0.9638778612213877,0.9733527664723352,0.9784564654353456,0.9831951680483196,no_rot,CIC-IDS-2017
xgb,20.0,0.998910010899891,0.0,0.998910010899891,0.998910010899891,0.998910010899891,0.998910010899891,0.998910010899891,no_rot,CIC-IDS-2017
catboost,20.0,0.9859300703496483,1.2565554420853347e-05,0.985915070424648,0.985915070424648,0.9859400702996484,0.9859400702996484,0.9859400702996484,no_rot,CIC-IDS-2018
dt,20.0,0.9797851010744948,0.0,0.9797851010744948,0.9797851010744948,0.9797851010744948,0.9797851010744948,0.9797851010744948,no_rot,CIC-IDS-2018
lgbm,20.0,0.9951900240498798,0.0,0.9951900240498798,0.9951900240498798,0.9951900240498798,0.9951900240498798,0.9951900240498798,no_rot,CIC-IDS-2018
mlp,20.0,0.993481282593587,0.0002900569603482243,0.9931650341748292,0.9932825335873321,0.9933325333373333,0.993837530812346,0.993915030424848,no_rot,CIC-IDS-2018
resnet,20.0,0.9931757841210797,0.00010303595000562604,0.9929950350248248,0.9930912845435774,0.9931875340623297,0.9932575337123315,0.9933250333748332,no_rot,CIC-IDS-2018
rf,20.0,0.9807495962520187,0.0004590525116935041,0.9796601016994916,0.980638846805766,0.9808150959245204,0.9809013454932723,0.9817750911245444,no_rot,CIC-IDS-2018
saint,20.0,0.9835833320833395,0.017335824275265203,0.9224253878730606,0.9849775751121245,0.9902825485872571,0.9921175394123029,0.9932650336748317,no_rot,CIC-IDS-2018
xgb,20.0,0.9956250218748905,2.278129578503827e-16,0.9956250218748908,0.9956250218748908,0.9956250218748908,0.9956250218748908,0.9956250218748908,no_rot,CIC-IDS-2018
catboost,20.0,0.9947186333964538,2.278129578503827e-16,0.994718633396454,0.994718633396454,0.994718633396454,0.994718633396454,0.994718633396454,no_rot,IoTID20
dt,20.0,0.9959331080163315,1.1390647892519134e-16,0.9959331080163316,0.9959331080163316,0.9959331080163316,0.9959331080163316,0.9959331080163316,no_rot,IoTID20
lgbm,20.0,0.9992489433271812,0.0,0.9992489433271812,0.9992489433271812,0.9992489433271812,0.9992489433271812,0.9992489433271812,no_rot,IoTID20
mlp,20.0,0.9982362153135661,0.0002972311484984474,0.9971236127423956,0.9982202353843572,0.9983141174684595,0.998390022132202,0.9984898966897576,no_rot,IoTID20
resnet,20.0,0.9964724306271325,0.0032279961835581707,0.9831251947553872,0.9963286112642521,0.9970357231317466,0.9977947697691698,0.9982661776808328,no_rot,IoTID20
rf,20.0,0.986993536118635,0.0002762126925879603,0.9865049497830723,0.9868764831371797,0.9869963326062465,0.9871161820753135,0.9873998258187716,no_rot,IoTID20
saint,20.0,0.9545267144466549,0.07859088090361566,0.6326054475578673,0.9478834583762794,0.9791941321699945,0.987353883522296,0.9932404899446295,no_rot,IoTID20
xgb,20.0,0.9990731641058831,1.1390647892519134e-16,0.999073164105883,0.999073164105883,0.999073164105883,0.999073164105883,0.999073164105883,no_rot,IoTID20
catboost,20.0,0.9999880000599999,2.5131108841483487e-06,0.9999850000749996,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.9999900000499996,rot,BOT-IoT
dt,20.0,0.9999935000325,4.006553513231404e-06,0.9999850000749996,0.9999900000499996,0.999995000025,0.999995000025,1.0,rot,BOT-IoT
lgbm,20.0,0.9722011389943053,0.028087589070638453,0.931000344998275,0.9484527577362114,0.9727876360618196,0.9999725001374993,0.999995000025,rot,BOT-IoT
mlp,20.0,0.99998975005125,1.1180283985868132e-06,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.9999900000499996,0.9999900000499996,rot,BOT-IoT
resnet,20.0,0.9999895000524999,1.5389598332995357e-06,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.9999900000499996,0.9999900000499996,rot,BOT-IoT
rf,20.0,0.99999075004625,1.8317285841071635e-06,0.9999900000499996,0.9999900000499996,0.9999900000499996,0.9999900000499996,0.999995000025,rot,BOT-IoT
saint,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,rot,BOT-IoT
xgb,20.0,0.99999200004,4.701599951869511e-06,0.9999850000749996,0.9999900000499996,0.9999900000499996,0.999995000025,1.0,rot,BOT-IoT
catboost,20.0,0.9999402505974944,2.2032948446616223e-05,0.999880001199988,0.9999325006749933,0.9999425005749942,0.9999562504374957,0.999970000299997,rot,CIC-DDoS-2019
dt,20.0,0.9999557504424958,1.4714238943876761e-05,0.9999250007499924,0.9999487505124949,0.9999575004249959,0.9999662503374965,0.9999750002499976,rot,CIC-DDoS-2019
lgbm,20.0,0.9902183478165218,0.01752389604621455,0.9366256337436626,0.9953550464495355,0.997770022299777,0.9982637673623262,0.9993950060499396,rot,CIC-DDoS-2019
mlp,20.0,0.9999747502524974,9.385645606371619e-06,0.9999450005499944,0.9999750002499976,0.9999750002499976,0.999980000199998,0.999990000099999,rot,CIC-DDoS-2019
resnet,20.0,0.9999700002999969,1.2669771320433358e-05,0.999920000799992,0.999970000299997,0.9999750002499976,0.9999750002499976,0.999980000199998,rot,CIC-DDoS-2019
rf,20.0,0.9999730002699971,6.155808554432602e-06,0.999960000399996,0.999970000299997,0.9999725002749973,0.9999762502374977,0.9999850001499984,rot,CIC-DDoS-2019
saint,20.0,0.9310634393656063,0.21747281263264076,0.0798142018579814,0.998630013699863,0.9989575104248958,0.9993437565624345,0.999930000699993,rot,CIC-DDoS-2019
xgb,20.0,0.9999837501624983,3.1932999352391486e-06,0.9999750002499976,0.9999837501624983,0.9999850001499984,0.9999850001499984,0.999990000099999,rot,CIC-DDoS-2019
catboost,20.0,0.9391266087339126,0.006549950289951753,0.9328556714432856,0.9361568884311158,0.9370756292437076,0.9390168598314016,0.9600553994460056,rot,CIC-IDS-2017
