model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
catboost,20.0,0.9999919999449999,1.025975787054658e-06,0.9999899999499998,0.9999924999437496,0.9999924999437496,0.9999924999437496,0.9999924999437496,no_rot,BOT-IoT
dt,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
lgbm,20.0,0.9999674991062255,1.1390647892519134e-16,0.9999674991062254,0.9999674991062254,0.9999674991062254,0.9999674991062254,0.9999674991062254,no_rot,BOT-IoT
mlp,20.0,0.9999944999487498,1.0259809170379677e-06,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999949999499996,0.9999949999499996,no_rot,BOT-IoT
resnet,20.0,0.9999939999487498,1.7013937784450525e-06,0.9999899999499998,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999949999499996,no_rot,BOT-IoT
rf,20.0,0.9999964999618747,1.4956203607470863e-06,0.9999949999499996,0.9999949999499996,0.9999974999687496,0.9999974999687496,1.0,no_rot,BOT-IoT
saint,20.0,0.9999899999499998,0.0,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,no_rot,BOT-IoT
xgb,20.0,0.9999899999499998,0.0,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,0.9999899999499998,no_rot,BOT-IoT
catboost,20.0,0.9999924898425119,1.1390647892519134e-16,0.999992489842512,0.999992489842512,0.999992489842512,0.999992489842512,0.999992489842512,no_rot,CIC-DDoS-2019
dt,20.0,0.9999952435305757,7.705297581409676e-07,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999974965891024,no_rot,CIC-DDoS-2019
lgbm,20.0,0.9960251959062351,0.0040703344949565914,0.991166300699124,0.991166300699124,0.9992644593776426,0.9992644593776426,0.9992644593776426,no_rot,CIC-DDoS-2019
mlp,20.0,0.9999911129270365,2.5001222632444245e-06,0.9999874829455132,0.9999899863814788,0.9999899863814788,0.999992489842512,0.9999949932158076,no_rot,CIC-DDoS-2019
resnet,20.0,0.999988484373168,5.411957680604067e-06,0.9999724633073572,0.9999874829455132,0.9999899864065469,0.99999248980491,0.9999949932158076,no_rot,CIC-DDoS-2019
rf,20.0,0.9999589455515302,1.3911350681566884e-05,0.999934915390007,0.9999468048120781,0.9999624499833756,0.99996808232889,0.9999799730637708,no_rot,CIC-DDoS-2019
saint,20.0,0.9936302672680316,0.014847393258132871,0.9499103243815272,0.9993145373126862,0.999420658304653,0.9997666062827884,0.999967455169496,no_rot,CIC-DDoS-2019
xgb,20.0,0.9999949931907393,1.1390647892519134e-16,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,no_rot,CIC-DDoS-2019
catboost,20.0,0.9751753912574201,2.278129578503827e-16,0.9751753912574204,0.9751753912574204,0.9751753912574204,0.9751753912574204,0.9751753912574204,no_rot,CIC-IDS-2017
dt,20.0,0.9764215978169328,1.2522527824435973e-05,0.97639358155198,0.9764251008649026,0.9764278227514998,0.9764278227514998,0.9764278227514998,no_rot,CIC-IDS-2017
lgbm,20.0,0.9965191447041274,0.0,0.9965191447041274,0.9965191447041274,0.9965191447041274,0.9965191447041274,0.9965191447041274,no_rot,CIC-IDS-2017
mlp,20.0,0.9665566996595158,0.007457277612646094,0.94780198019802,0.964955324476866,0.9681914189143586,0.9710612874208482,0.9804493531363424,no_rot,CIC-IDS-2017
resnet,20.0,0.957865377812294,0.01662241832910802,0.891897943550763,0.9573381456023949,0.9604954665422067,0.9665024848722412,0.9690414268148037,no_rot,CIC-IDS-2017
rf,20.0,0.9728056610866475,0.000684493592404188,0.9719527054469967,0.9724602349038235,0.9726087691312115,0.9729098518572027,0.9751504584059848,no_rot,CIC-IDS-2017
saint,20.0,0.930876850932331,0.03312540135577227,0.841160208050232,0.9242859710219589,0.9437266668684887,0.9539104621597598,0.9630183862768614,no_rot,CIC-IDS-2017
xgb,20.0,0.9975928625060734,3.4171943677557405e-16,0.997592862506073,0.997592862506073,0.997592862506073,0.997592862506073,0.997592862506073,no_rot,CIC-IDS-2017
catboost,20.0,0.9710565298684106,2.5100385047473683e-05,0.9710265666944368,0.9710265666944368,0.9710765053177264,0.9710765053177264,0.9710765053177264,no_rot,CIC-IDS-2018
dt,20.0,0.9590967493904474,0.0,0.9590967493904474,0.9590967493904474,0.9590967493904474,0.9590967493904474,0.9590967493904474,no_rot,CIC-IDS-2018
lgbm,20.0,0.9901940797521,2.278129578503827e-16,0.9901940797520998,0.9901940797520998,0.9901940797520998,0.9901940797520998,0.9901940797520998,no_rot,CIC-IDS-2018
mlp,20.0,0.9866909244313637,0.0005841966291947302,0.986050593385512,0.9862910280831529,0.9863909825090129,0.9874077282646941,0.987566026747857,no_rot,CIC-IDS-2018
resnet,20.0,0.9860739026318749,0.00020835820480200293,0.9857065611067468,0.9859021234621138,0.9860947388486475,0.9862386028218628,0.9863740750191377,no_rot,CIC-IDS-2018
rf,20.0,0.9616373468629975,0.0008840476348347101,0.959540101845958,0.9614161255060978,0.9617698593574198,0.9619432197319124,0.9636085901698268,no_rot,CIC-IDS-2018
saint,20.0,0.967176856958058,0.032474482008566785,0.8624910262432531,0.9692997467266989,0.9802355816706261,0.9839402968780109,0.986253278496127,no_rot,CIC-IDS-2018
xgb,20.0,0.9910875255915338,2.278129578503827e-16,0.9910875255915336,0.9910875255915336,0.9910875255915336,0.9910875255915336,0.9910875255915336,no_rot,CIC-IDS-2018
catboost,20.0,0.997186048590683,2.278129578503827e-16,0.9971860485906828,0.9971860485906828,0.9971860485906828,0.9971860485906828,0.9971860485906828,no_rot,IoTID20
dt,20.0,0.9978317266527229,1.1390647892519134e-16,0.9978317266527228,0.9978317266527228,0.9978317266527228,0.9978317266527228,0.9978317266527228,no_rot,IoTID20
lgbm,20.0,0.9995988528899662,2.278129578503827e-16,0.999598852889966,0.999598852889966,0.999598852889966,0.999598852889966,0.999598852889966,no_rot,IoTID20
mlp,20.0,0.9990582986983176,0.00015844128580071786,0.9984653030600152,0.9990496282368477,0.9990998367740926,0.9991402886479246,0.9991936963264122,no_rot,IoTID20
resnet,20.0,0.9981204938952513,0.0017074763526822349,0.991063721756791,0.9980399316833538,0.9984178002654419,0.9988223683203566,0.999074125432537,no_rot,IoTID20
rf,20.0,0.9930984799193234,0.0001455727119490243,0.9928408845258836,0.9930368025444261,0.9930998227621124,0.9931631768695645,0.9933127244817044,no_rot,IoTID20
saint,20.0,0.9735303258392793,0.05232747849422937,0.7560507188710276,0.9725184630910253,0.9889274317260699,0.9932863652034467,0.9963938311494558,no_rot,IoTID20
xgb,20.0,0.9995049378184827,1.1390647892519134e-16,0.9995049378184828,0.9995049378184828,0.9995049378184828,0.9995049378184828,0.9995049378184828,no_rot,IoTID20
catboost,20.0,0.9999939999474998,1.2565648662878906e-06,0.9999924999437496,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999949999499996,rot,BOT-IoT
dt,20.0,0.9999967499656248,2.003303603963637e-06,0.9999924999437496,0.9999949999499996,0.9999974999687496,0.9999974999687496,1.0,rot,BOT-IoT
lgbm,20.0,0.9857088306320797,0.01447381992858184,0.9642674041045878,0.9735444330692581,0.9861489410851751,0.9999862498749988,0.9999974999562492,rot,BOT-IoT
mlp,20.0,0.9999948749496873,5.590183919212112e-07,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999949999499996,0.9999949999499996,rot,BOT-IoT
resnet,20.0,0.9999947499493749,7.694856877784759e-07,0.9999924999437496,0.9999949999499996,0.9999949999499996,0.9999949999499996,0.9999949999499996,rot,BOT-IoT
