model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
catboost,20.0,0.9999840000199998,2.0519156651829597e-06,0.9999800000999997,0.999985,0.999985,0.999985,0.999985,no_rot,BOT-IoT
dt,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
lgbm,20.0,0.9999799991999682,1.1390647892519134e-16,0.999979999199968,0.999979999199968,0.999979999199968,0.999979999199968,0.999979999199968,no_rot,BOT-IoT
mlp,20.0,0.9999889999599997,2.051936184432761e-06,0.999985,0.9999899999499996,0.9999899999499996,0.9999899999499996,0.9999899999499996,no_rot,BOT-IoT
resnet,20.0,0.9999879999749997,3.402738835197591e-06,0.9999800000999997,0.999985,0.9999899999499996,0.9999899999499996,0.9999899999499996,no_rot,BOT-IoT
rf,20.0,0.9999929999524996,2.9912213665405295e-06,0.9999899999499996,0.9999899999499996,0.9999949999499996,0.9999949999499996,1.0,no_rot,BOT-IoT
saint,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,no_rot,BOT-IoT
xgb,20.0,0.9999800000999995,1.1390647892519134e-16,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,0.9999800000999997,no_rot,BOT-IoT
catboost,20.0,0.9999849797978276,3.4171943677557405e-16,0.999984979797828,0.999984979797828,0.999984979797828,0.999984979797828,0.999984979797828,no_rot,CIC-DDoS-2019
dt,20.0,0.9999954938716655,1.5410633743285485e-06,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,1.0,no_rot,CIC-DDoS-2019
lgbm,20.0,0.9989253623733244,0.00035876343835298125,0.9986398503835422,0.9986398503835422,0.9986398503835422,0.9993536303579972,0.9993536303579972,no_rot,CIC-DDoS-2019
mlp,20.0,0.9999889850835496,3.082030731786473e-06,0.99997997316404,0.9999899863313424,0.9999899863814788,0.9999899864441487,0.9999949931406026,no_rot,CIC-DDoS-2019
resnet,20.0,0.9999859811308454,1.0091693964609124e-05,0.9999449281312112,0.9999849797790273,0.9999899863062738,0.9999899863940128,0.9999899864817504,no_rot,CIC-DDoS-2019
rf,20.0,0.9999289082151963,2.6269712484989232e-05,0.9998748448075614,0.9999086324926203,0.9999349150892224,0.9999449276486982,0.999964953388006,no_rot,CIC-DDoS-2019
saint,20.0,0.9992474275436827,0.0005350916617649766,0.998630013699863,0.9986375034249657,0.9993744077443574,0.9997046703380973,0.9999849790457688,no_rot,CIC-DDoS-2019
xgb,20.0,0.9999949931907393,1.1390647892519134e-16,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,no_rot,CIC-DDoS-2019
catboost,20.0,0.9935622809228161,1.1390647892519134e-16,0.993562280922816,0.993562280922816,0.993562280922816,0.993562280922816,0.993562280922816,no_rot,CIC-IDS-2017
dt,20.0,0.986412581319722,6.801015790462783e-06,0.986392718752816,0.9864147117515781,0.9864149413116452,0.9864149413116452,0.9864149413116452,no_rot,CIC-IDS-2017
lgbm,20.0,0.9975663716814159,1.1390647892519134e-16,0.997566371681416,0.997566371681416,0.997566371681416,0.997566371681416,0.997566371681416,no_rot,CIC-IDS-2017
mlp,20.0,0.9528427451037501,0.017005058559507118,0.9197007175419588,0.9451259441826219,0.9541571073758055,0.9626307160913097,0.9889495317027156,no_rot,CIC-IDS-2017
resnet,20.0,0.9447315731878814,0.016898508638235967,0.9002978272601891,0.9370354591626919,0.9450056056100822,0.9572542667917125,0.9643359409334622,no_rot,CIC-IDS-2017
rf,20.0,0.9947374556465315,0.0003896564981934081,0.9937779416509196,0.994707589507133,0.9948404866907639,0.9949730205417481,0.9951520188378696,no_rot,CIC-IDS-2017
saint,20.0,0.895423611178171,0.05357609504791303,0.7307930304510666,0.8739048068925044,0.9085432183356762,0.9229645403507707,0.9599236641221374,no_rot,CIC-IDS-2017
xgb,20.0,0.9978793434800857,1.1390647892519134e-16,0.9978793434800856,0.9978793434800856,0.9978793434800856,0.9978793434800856,0.9978793434800856,no_rot,CIC-IDS-2017
catboost,20.0,0.9894152195436188,5.211633773716867e-05,0.9893530065181396,0.9893530065181396,0.9894566948939382,0.9894566948939382,0.9894566948939382,no_rot,CIC-IDS-2018
dt,20.0,0.9608952137687767,2.278129578503827e-16,0.960895213768777,0.960895213768777,0.960895213768777,0.960895213768777,0.960895213768777,no_rot,CIC-IDS-2018
lgbm,20.0,0.99960897303972,0.0,0.99960897303972,0.99960897303972,0.99960897303972,0.99960897303972,0.99960897303972,no_rot,CIC-IDS-2018
mlp,20.0,0.9975996750905576,0.0012254313135392845,0.9963305021852066,0.996715805772733,0.9969879830893722,0.9990903647889721,0.9995035064854464,no_rot,CIC-IDS-2018
resnet,20.0,0.9964604137114297,0.0003841815732666357,0.995796674427709,0.9962115754933233,0.9965152483643966,0.9967718017801501,0.9970904438620748,no_rot,CIC-IDS-2018
rf,20.0,0.9490535910564398,0.0016434173927705985,0.9451985036331942,0.9487017881871959,0.948986708643476,0.9499182477395052,0.9528303749481708,no_rot,CIC-IDS-2018
saint,20.0,0.9744149385712098,0.04972402511673492,0.7684908789386401,0.9817312311012747,0.9872483522138,0.9926993960359296,0.9968436036556434,no_rot,CIC-IDS-2018
xgb,20.0,0.99975340607854,0.0,0.99975340607854,0.99975340607854,0.99975340607854,0.99975340607854,0.99975340607854,no_rot,CIC-IDS-2018
catboost,20.0,0.9944047750447874,2.278129578503827e-16,0.9944047750447872,0.9944047750447872,0.9944047750447872,0.9944047750447872,0.9944047750447872,no_rot,IoTID20
dt,20.0,0.9956897651049502,2.278129578503827e-16,0.9956897651049504,0.9956897651049504,0.9956897651049504,0.9956897651049504,0.9956897651049504,no_rot,IoTID20
lgbm,20.0,0.9992406532088799,1.1390647892519134e-16,0.99924065320888,0.99924065320888,0.99924065320888,0.99924065320888,0.99924065320888,no_rot,IoTID20
mlp,20.0,0.998354612912091,0.00036119062425620993,0.9970626298402752,0.9983247495824618,0.9984778717220686,0.9985268569220278,0.9987459477904794,no_rot,IoTID20
resnet,20.0,0.9968802424043013,0.0034925064141131433,0.9823516583066316,0.9971550079912956,0.9976223547001545,0.9982260912876056,0.9985584140848917,no_rot,IoTID20
rf,20.0,0.9863090494632415,0.00028446182824332767,0.9858250351428018,0.9861844393803559,0.9863151557199924,0.9864438748215603,0.9867142941389564,no_rot,IoTID20
