model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
catboost,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
dt,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
lgbm,20.0,0.9999549993249902,2.278129578503827e-16,0.99995499932499,0.99995499932499,0.99995499932499,0.99995499932499,0.99995499932499,no_rot,BOT-IoT
mlp,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
resnet,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
rf,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
saint,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
xgb,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,BOT-IoT
catboost,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,no_rot,CIC-DDoS-2019
dt,20.0,0.9999949931907393,1.1390647892519134e-16,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,no_rot,CIC-DDoS-2019
lgbm,20.0,0.9931787230633665,0.008432945485973805,0.983112032364015,0.983112032364015,0.999889850196267,0.999889850196267,0.999889850196267,no_rot,CIC-DDoS-2019
mlp,20.0,0.9999932408074983,5.691280550382394e-06,0.9999849795722182,0.9999899863814788,0.9999899863814788,1.0,1.0,no_rot,CIC-DDoS-2019
resnet,20.0,0.9999909877433308,8.837818935316875e-06,0.9999699591444364,0.9999849795722182,0.9999949931907394,0.9999962448930545,1.0,no_rot,CIC-DDoS-2019
rf,20.0,0.9999889850196266,6.4159584586744186e-06,0.9999699591444364,0.9999887346791637,0.9999899863814788,0.9999949931907394,0.9999949931907394,no_rot,CIC-DDoS-2019
saint,20.0,0.9884740747416487,0.028463071107076326,0.9055865977729712,0.9997071016582553,0.9999724625490668,1.0,1.0,no_rot,CIC-DDoS-2019
xgb,20.0,0.9999949931907393,1.1390647892519134e-16,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,0.9999949931907394,no_rot,CIC-DDoS-2019
catboost,20.0,0.9574566729219562,2.278129578503827e-16,0.957456672921956,0.957456672921956,0.957456672921956,0.957456672921956,0.957456672921956,no_rot,CIC-IDS-2017
dt,20.0,0.9666309747212715,2.426410521242875e-05,0.9665746771166795,0.9666409095926702,0.9666409095926702,0.9666409095926702,0.9666409095926702,no_rot,CIC-IDS-2017
lgbm,20.0,0.9954741141406338,2.278129578503827e-16,0.9954741141406336,0.9954741141406336,0.9954741141406336,0.9954741141406336,0.9954741141406336,no_rot,CIC-IDS-2017
mlp,20.0,0.9811116017220444,0.015656678008957276,0.924627442322552,0.9769510983552268,0.9849541892041064,0.9913401037642124,0.994701401920742,no_rot,CIC-IDS-2017
resnet,20.0,0.9723346947786732,0.0335612994864143,0.8354343746550392,0.9716249034109725,0.9763550060713104,0.9868859697538361,0.9949221768407108,no_rot,CIC-IDS-2017
rf,20.0,0.9518213930897449,0.0014303523911419075,0.9505905729109172,0.9510762777348494,0.951506788828789,0.9518986643117342,0.9569047356220334,no_rot,CIC-IDS-2017
saint,20.0,0.9728192957280054,0.042832948998757975,0.7958052765205873,0.9699083784082128,0.9864664974058945,0.9890054089855393,0.993884534716856,no_rot,CIC-IDS-2017
xgb,20.0,0.9973065459763776,3.4171943677557405e-16,0.9973065459763772,0.9973065459763772,0.9973065459763772,0.9973065459763772,0.9973065459763772,no_rot,CIC-IDS-2017
catboost,20.0,0.9533667245627496,3.4171943677557405e-16,0.95336672456275,0.95336672456275,0.95336672456275,0.95336672456275,0.95336672456275,no_rot,CIC-IDS-2018
dt,20.0,0.9573050046451506,2.278129578503827e-16,0.9573050046451508,0.9573050046451508,0.9573050046451508,0.9573050046451508,0.9573050046451508,no_rot,CIC-IDS-2018
lgbm,20.0,0.9809548814476716,2.278129578503827e-16,0.9809548814476714,0.9809548814476714,0.9809548814476714,0.9809548814476714,0.9809548814476714,no_rot,CIC-IDS-2018
mlp,20.0,0.9760189037443954,0.00010714968200323455,0.975784626570263,0.9760067859595266,0.9760673748838712,0.976087571191986,0.976107767500101,no_rot,CIC-IDS-2018
resnet,20.0,0.9759017651573292,0.00017132124116364702,0.9754614856404248,0.9758199701094641,0.9759663933432968,0.9760320313446703,0.9760673748838712,no_rot,CIC-IDS-2018
rf,20.0,0.9745607302985014,0.0004222403921405248,0.97382558468312,0.9743203942319343,0.9745526517752555,0.9749414307064669,0.9751989336349316,no_rot,CIC-IDS-2018
saint,20.0,0.9622005897321969,0.03627097394689306,0.8272609766934604,0.9722098800339298,0.9746233388536576,0.9754564365633962,0.9826917639455508,no_rot,CIC-IDS-2018
xgb,20.0,0.9825705860968619,2.278129578503827e-16,0.9825705860968617,0.9825705860968617,0.9825705860968617,0.9825705860968617,0.9825705860968617,no_rot,CIC-IDS-2018
catboost,20.0,0.9999829237888699,1.1390647892519134e-16,0.9999829237888698,0.9999829237888698,0.9999829237888698,0.9999829237888698,0.9999829237888698,no_rot,IoTID20
dt,20.0,0.9999829237888699,1.1390647892519134e-16,0.9999829237888698,0.9999829237888698,0.9999829237888698,0.9999829237888698,0.9999829237888698,no_rot,IoTID20
lgbm,20.0,0.9999573094721746,2.278129578503827e-16,0.9999573094721744,0.9999573094721744,0.9999573094721744,0.9999573094721744,0.9999573094721744,no_rot,IoTID20
mlp,20.0,0.9997630675705675,0.00011978598407319192,0.9995389422994826,0.999707569884394,0.9997780092553064,0.999871928416523,0.9999231570499136,no_rot,IoTID20
resnet,20.0,0.999370314714571,0.0005024011615150324,0.997763016341934,0.9992443776574853,0.9994706374549613,0.9996499376718293,0.9999316951554788,no_rot,IoTID20
rf,20.0,0.9999820699783133,1.588904029594758e-05,0.999940233261044,0.9999722511569131,0.9999871928416523,0.9999914618944348,1.0,no_rot,IoTID20
saint,20.0,0.9747254999060809,0.08711360189292756,0.6083741739382865,0.9953168490975222,0.9982198049896689,0.9998078926247845,1.0,no_rot,IoTID20
xgb,20.0,0.999803623572002,2.278129578503827e-16,0.9998036235720018,0.9998036235720018,0.9998036235720018,0.9998036235720018,0.9998036235720018,no_rot,IoTID20
catboost,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
dt,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
lgbm,20.0,0.9722195832937495,0.028087109528346064,0.9310189652844792,0.9484717270759061,0.9728070921063816,0.9999912498687479,1.0,rot,BOT-IoT
mlp,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
resnet,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
rf,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
saint,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
xgb,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,rot,BOT-IoT
catboost,20.0,0.9999767183369384,1.0930209185431931e-05,0.9999399182888729,0.9999749659536972,0.9999774693583274,0.9999799727629576,0.9999949931907394,rot,CIC-DDoS-2019
dt,20.0,0.9999792217415686,1.0561875705833454e-05,0.9999549387166546,0.9999699591444364,0.999982476167588,0.9999849795722182,0.9999949931907394,rot,CIC-DDoS-2019
lgbm,20.0,0.9911599775694946,0.017583154351550414,0.9371595369702796,0.9964526756388689,0.9987858487543058,0.9992089241368262,0.9999399182888729,rot,CIC-DDoS-2019
mlp,20.0,0.9999847292317552,9.398521451944496e-06,0.9999549387166546,0.9999849795722182,0.9999849795722182,0.9999899863814788,1.0,rot,CIC-DDoS-2019
resnet,20.0,0.9999857305936073,4.672865118981013e-06,0.9999749659536972,0.9999849795722182,0.9999849795722182,0.9999862312745333,0.9999949931907394,rot,CIC-DDoS-2019
rf,20.0,0.9999884843387006,4.328410267314483e-06,0.9999799727629576,0.9999849795722182,0.9999899863814788,0.9999899863814788,0.9999949931907394,rot,CIC-DDoS-2019
saint,20.0,0.9316660658495554,0.21799775126891982,0.0785518304894656,0.9998197548666187,0.999982476167588,0.9999962448930545,1.0,rot,CIC-DDoS-2019
xgb,20.0,0.9999909877433308,2.0547511657258357e-06,0.9999899863814788,0.9999899863814788,0.9999899863814788,0.9999899863814788,0.9999949931907394,rot,CIC-DDoS-2019
catboost,20.0,0.8170394083232144,0.0425790854503939,0.7943040070647974,0.7966552599624682,0.7997350700960371,0.8133899988961254,0.952135997350701,rot,CIC-IDS-2017
dt,20.0,0.8837763550060711,0.057828961357705606,0.783949663318247,0.8452588585936638,0.8822055414504912,0.9085605475218015,0.9782757478750412,rot,CIC-IDS-2017
lgbm,20.0,0.9684843801744123,0.006804297058548222,0.9554917761342312,0.9644166022739815,0.9686941163483829,0.9716304227839716,0.9839055083342532,rot,CIC-IDS-2017
mlp,20.0,0.950372005740148,0.04478254133474553,0.8566949994480627,0.9198752621702175,0.9603929793575451,0.9890661220885308,0.9962247488685284,rot,CIC-IDS-2017
resnet,20.0,0.9459940390771608,0.051012849520386906,0.8536703830444862,0.9200022077491998,0.964764322772933,0.9898995474114141,0.9946793244287448,rot,CIC-IDS-2017
rf,20.0,0.8264389005408986,0.021334316740984433,0.7989402803841483,0.8143945247819848,0.8203002538911579,0.8273760900761674,0.8725466387018435,rot,CIC-IDS-2017
saint,20.0,0.8690120322331383,0.16540501173588307,0.1918754829451374,0.8774919969091511,0.8915222430731868,0.936472016778894,0.9768627883872392,rot,CIC-IDS-2017
xgb,20.0,0.9784093167016226,0.003684407434687035,0.9732200022077492,0.9752621702174633,0.9779225080030909,0.9808698531846781,0.9870184347058174,rot,CIC-IDS-2017
catboost,20.0,0.9683735913075091,0.001908023499035723,0.9650805832693784,0.9669436926929756,0.9686149371894818,0.9693622005897322,0.9736842105263158,rot,CIC-IDS-2018
dt,20.0,0.9756240659207498,0.008499208632084476,0.9550026255200548,0.9732449408248173,0.9800157531203295,0.9813386113018541,0.9817829300803812,rot,CIC-IDS-2018
lgbm,20.0,0.9823342892919176,6.62099189231597e-05,0.9822272488589086,0.9823029850143393,0.9823383285535404,0.9823534757846266,0.9824696045562872,rot,CIC-IDS-2018
mlp,20.0,0.9765854101870179,0.0020474092709482482,0.9755018782566548,0.9759007553419236,0.9759663933432968,0.9760269822676416,0.9825705860968617,rot,CIC-IDS-2018
resnet,20.0,0.9758229995556812,0.00019590911992659583,0.9751989336349316,0.9757997738013492,0.9758755099567799,0.9759512461122107,0.9760067859595266,rot,CIC-IDS-2018
rf,20.0,0.9781677909278184,0.003178032875944596,0.9689986670436644,0.9790513794078441,0.9796017288039746,0.9798087409621521,0.9803287958961102,rot,CIC-IDS-2018
saint,20.0,0.9627913317445571,0.03906857824798411,0.803590903582825,0.9737195540655168,0.9753807004079654,0.9755271236417983,0.975784626570263,rot,CIC-IDS-2018
xgb,20.0,0.9825079775417052,5.7833425145509164e-05,0.9823686230157128,0.982489800864402,0.9825099971725167,0.9825503897887466,0.982631175021206,rot,CIC-IDS-2018
catboost,20.0,0.998622376667065,0.0006127323265909613,0.996755519885248,0.9983329348884069,0.9987107460596643,0.999009579754444,0.999624323355134,rot,IoTID20
dt,20.0,0.9985288844111269,0.0011027336895999386,0.9956711804784756,0.9974257611721111,0.9989455439627055,0.9994130052423968,0.9998036235720018,rot,IoTID20
lgbm,20.0,0.9997605061388976,3.892743415029976e-05,0.9996926281996552,0.9997267806219156,0.9997737402025237,0.9997780092553064,0.9998292378886972,rot,IoTID20
mlp,20.0,0.9996392650398731,0.0003556877351615572,0.9983948361537542,0.9996221888287427,0.9997652020969586,0.9998100271511758,0.9999060808387836,rot,IoTID20
resnet,20.0,0.9980930141220268,0.005691969302291356,0.9740953877153736,0.9991333822851385,0.9996029780912212,0.9997886818872629,0.9998975427332184,rot,IoTID20
rf,20.0,0.9996217619234645,0.00021880673753709625,0.9990522702822696,0.9995304041939176,0.9996413995662642,0.9997929509400454,0.9999316951554788,rot,IoTID20
saint,20.0,0.998277864107512,0.0012235501802536233,0.9957138710063012,0.99727420979833,0.9986040197401,0.9991760728129644,0.9998548522053928,rot,IoTID20
xgb,20.0,0.9997869742661498,4.066288255774813e-05,0.9997182425163504,0.999760933044176,0.9997865473608716,0.9998057580983931,0.9998633903109578,rot,IoTID20
