iteration,dataset,model,rotation,metric,value
1,CIC-IDS-2018,rf,rot,accuracy,0.9934850325748372
2,CIC-IDS-2018,rf,rot,accuracy,0.9932650336748317
3,CIC-IDS-2018,rf,rot,accuracy,0.9930250348748256
4,CIC-IDS-2018,rf,rot,accuracy,0.99319503402483
5,CIC-IDS-2018,rf,rot,accuracy,0.991675041624792
6,CIC-IDS-2018,rf,rot,accuracy,0.9938650306748468
7,CIC-IDS-2018,rf,rot,accuracy,0.9932100339498302
8,CIC-IDS-2018,rf,rot,accuracy,0.990725046374768
9,CIC-IDS-2018,rf,rot,accuracy,0.9919100404497978
10,CIC-IDS-2018,rf,rot,accuracy,0.9934650326748368
11,CIC-IDS-2018,rf,rot,accuracy,0.993160034199829
12,CIC-IDS-2018,rf,rot,accuracy,0.9938050309748452
13,CIC-IDS-2018,rf,rot,accuracy,0.9914850425747872
14,CIC-IDS-2018,rf,rot,accuracy,0.9936500317498412
15,CIC-IDS-2018,rf,rot,accuracy,0.993120034399828
16,CIC-IDS-2018,rf,rot,accuracy,0.993685031574842
17,CIC-IDS-2018,rf,rot,accuracy,0.9928350358248208
18,CIC-IDS-2018,rf,rot,accuracy,0.993520032399838
19,CIC-IDS-2018,rf,rot,accuracy,0.9932550337248314
20,CIC-IDS-2018,rf,rot,accuracy,0.9931100344498276
1,CIC-IDS-2018,rf,no_rot,accuracy,0.980885095574522
2,CIC-IDS-2018,rf,no_rot,accuracy,0.9808150959245204
3,CIC-IDS-2018,rf,no_rot,accuracy,0.9817750911245444
4,CIC-IDS-2018,rf,no_rot,accuracy,0.9805100974495128
5,CIC-IDS-2018,rf,no_rot,accuracy,0.98080509597452
6,CIC-IDS-2018,rf,no_rot,accuracy,0.9805450972745136
7,CIC-IDS-2018,rf,no_rot,accuracy,0.9808550957245212
8,CIC-IDS-2018,rf,no_rot,accuracy,0.9806700966495168
9,CIC-IDS-2018,rf,no_rot,accuracy,0.9809500952495236
10,CIC-IDS-2018,rf,no_rot,accuracy,0.9812300938495307
11,CIC-IDS-2018,rf,no_rot,accuracy,0.9797351013244934
12,CIC-IDS-2018,rf,no_rot,accuracy,0.9810950945245274
13,CIC-IDS-2018,rf,no_rot,accuracy,0.9804550977245112
14,CIC-IDS-2018,rf,no_rot,accuracy,0.9806700966495168
15,CIC-IDS-2018,rf,no_rot,accuracy,0.9808150959245204
16,CIC-IDS-2018,rf,no_rot,accuracy,0.9796601016994916
17,CIC-IDS-2018,rf,no_rot,accuracy,0.9808700956495218
18,CIC-IDS-2018,rf,no_rot,accuracy,0.9808250958745206
19,CIC-IDS-2018,rf,no_rot,accuracy,0.981040094799526
20,CIC-IDS-2018,rf,no_rot,accuracy,0.9807850960745196
1,CIC-IDS-2018,dt,rot,accuracy,0.992555037224814
2,CIC-IDS-2018,dt,rot,accuracy,0.9925850370748146
3,CIC-IDS-2018,dt,rot,accuracy,0.9874550627246864
4,CIC-IDS-2018,dt,rot,accuracy,0.9938200308998456
5,CIC-IDS-2018,dt,rot,accuracy,0.9926500367498162
6,CIC-IDS-2018,dt,rot,accuracy,0.9920700396498018
7,CIC-IDS-2018,dt,rot,accuracy,0.9929700351498244
8,CIC-IDS-2018,dt,rot,accuracy,0.9926050369748152
9,CIC-IDS-2018,dt,rot,accuracy,0.9874150629246854
10,CIC-IDS-2018,dt,rot,accuracy,0.99119504402478
11,CIC-IDS-2018,dt,rot,accuracy,0.9938900305498471
12,CIC-IDS-2018,dt,rot,accuracy,0.991640041799791
13,CIC-IDS-2018,dt,rot,accuracy,0.989125054374728
14,CIC-IDS-2018,dt,rot,accuracy,0.9905100474497628
15,CIC-IDS-2018,dt,rot,accuracy,0.99120004399978
16,CIC-IDS-2018,dt,rot,accuracy,0.9920450397748012
17,CIC-IDS-2018,dt,rot,accuracy,0.989560052199739
18,CIC-IDS-2018,dt,rot,accuracy,0.99240003799981
19,CIC-IDS-2018,dt,rot,accuracy,0.9928100359498202
20,CIC-IDS-2018,dt,rot,accuracy,0.987445062774686
1,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
2,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
3,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
4,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
5,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
6,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
7,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
8,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
9,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
10,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
11,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
12,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
13,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
14,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
15,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
16,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
17,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
18,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
19,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
20,CIC-IDS-2018,dt,no_rot,accuracy,0.9797851010744948
1,CIC-IDS-2018,lgbm,rot,accuracy,0.9954900225498872
2,CIC-IDS-2018,lgbm,rot,accuracy,0.9955000224998874
3,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
4,CIC-IDS-2018,lgbm,rot,accuracy,0.995440022799886
5,CIC-IDS-2018,lgbm,rot,accuracy,0.995515022424888
6,CIC-IDS-2018,lgbm,rot,accuracy,0.995320023399883
7,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
8,CIC-IDS-2018,lgbm,rot,accuracy,0.9954650226748868
9,CIC-IDS-2018,lgbm,rot,accuracy,0.9954850225748872
10,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
11,CIC-IDS-2018,lgbm,rot,accuracy,0.995480022599887
12,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
13,CIC-IDS-2018,lgbm,rot,accuracy,0.9954850225748872
14,CIC-IDS-2018,lgbm,rot,accuracy,0.9954500227498864
15,CIC-IDS-2018,lgbm,rot,accuracy,0.995445022774886
16,CIC-IDS-2018,lgbm,rot,accuracy,0.9954650226748868
17,CIC-IDS-2018,lgbm,rot,accuracy,0.9954550227248864
18,CIC-IDS-2018,lgbm,rot,accuracy,0.9954950225248874
19,CIC-IDS-2018,lgbm,rot,accuracy,0.9954600226998864
20,CIC-IDS-2018,lgbm,rot,accuracy,0.9954700226498868
1,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
2,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
3,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
4,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
5,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
6,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
7,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
8,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
9,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
10,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
11,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
12,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
13,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
14,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
15,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
16,CIC-IDS-2018,lgbm,no_rot,accuracy,0.9951900240498798
